trap_slug	label	description	question_ref_count	exam_family_count	snippet_count	piece_count	recurrence_level	question_refs
membership_checks_keys	Membership Checks Keys	`in` on a dictionary checks keys by default, not values.	7	4	2	0	very-common	sample-final-plus-answers-q17|final-exam-study-guide-trial-python-basics-2023-q01|introduction-to-python-trial-final-exam-solutions-py22-q01|introduction-to-python-trial-final-exam-solutions-py22-q10|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q05|resit-solutions-for-introduction-to-python-35761538-q05|trial-final-exam-solutions-introduction-to-python-3077951-q17
method_call_in_fstring	Method Call In Fstring	In f-strings, you still need valid Python expressions; missing parentheses or quotes break them.	7	5	1	0	very-common	sample-final-plus-answers-q02|final-exam-solutions-for-python-programming-62oop21-q02|final-exam-study-guide-trial-python-basics-2023-q23|introduction-to-python-trial-final-exam-solutions-py22-q23|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q20|resit-solutions-for-introduction-to-python-35761538-q20|trial-final-exam-solutions-introduction-to-python-3077951-q02
misspelled_variable_name	Misspelled Variable Name	The code references a different variable name than the one that was actually defined.	7	4	1	0	very-common	sample-final-plus-answers-q03|final-exam-study-guide-trial-python-basics-2023-q13|final-exam-study-guide-trial-python-basics-2023-q23|introduction-to-python-trial-final-exam-solutions-py22-q13|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q14|resit-solutions-for-introduction-to-python-35761538-q14|trial-final-exam-solutions-introduction-to-python-3077951-q03
mutable_default_list	Mutable Default List	Using a mutable object like `[]` as a default can leak state across calls.	7	5	1	0	very-common	sample-final-plus-answers-q02|final-exam-solutions-for-python-programming-62oop21-q02|final-exam-study-guide-trial-python-basics-2023-q24|introduction-to-python-trial-final-exam-solutions-py22-q16|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q20|resit-solutions-for-introduction-to-python-35761538-q20|trial-final-exam-solutions-introduction-to-python-3077951-q02
series_vs_dataframe_shape	Series Vs Dataframe Shape	Single-bracket vs double-bracket selection changes whether you get a Series or a DataFrame.	7	5	1	0	very-common	sample-final-plus-answers-q05|final-exam-solutions-for-python-programming-62oop21-q07|final-exam-study-guide-trial-python-basics-2023-q14|introduction-to-python-trial-final-exam-solutions-py22-q14|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q18|resit-solutions-for-introduction-to-python-35761538-q18|trial-final-exam-solutions-introduction-to-python-3077951-q05
state_stored_on_instance	State Stored On Instance	If later methods need the value, store it on the instance as an attribute.	7	5	1	0	very-common	sample-final-plus-answers-q02|final-exam-solutions-for-python-programming-62oop21-q02|final-exam-study-guide-trial-python-basics-2023-q24|introduction-to-python-trial-final-exam-solutions-py22-q16|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q20|resit-solutions-for-introduction-to-python-35761538-q20|trial-final-exam-solutions-introduction-to-python-3077951-q02
vectorized_ops_vs_map	Vectorized Ops Vs Map	Many column operations can be done directly with vectorized arithmetic/string methods instead of element-wise mapping.	7	3	1	0	very-common	final-exam-solutions-for-python-programming-62oop21-q05|final-exam-solutions-for-python-programming-62oop21-q06|final-exam-study-guide-trial-python-basics-2023-q20|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q23|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q24|resit-solutions-for-introduction-to-python-35761538-q23|resit-solutions-for-introduction-to-python-35761538-q24
append_index_vs_value	Append Index Vs Value	Appending to a list adds a value; it does not create or shift indices the way distractors imply.	6	4	1	0	very-common	sample-final-plus-answers-q18|final-exam-solutions-for-python-programming-62oop21-q23|final-exam-solutions-for-python-programming-62oop21-q24|final-exam-study-guide-trial-python-basics-2023-q08|introduction-to-python-trial-final-exam-solutions-py22-q08|trial-final-exam-solutions-introduction-to-python-3077951-q18
lexicographic_vs_sum	Lexicographic Vs Sum	`max()` on lists compares lexicographically unless you tell it to compare by a derived numeric key.	6	4	1	0	very-common	sample-final-plus-answers-q18|final-exam-solutions-for-python-programming-62oop21-q23|final-exam-solutions-for-python-programming-62oop21-q24|final-exam-study-guide-trial-python-basics-2023-q08|introduction-to-python-trial-final-exam-solutions-py22-q08|trial-final-exam-solutions-introduction-to-python-3077951-q18
replace_count_order	Replace Count Order	The optional count in `replace` comes after old and new strings.	6	4	1	0	very-common	final-exam-solutions-for-python-programming-62oop21-q04|final-exam-solutions-for-python-programming-62oop21-q19|final-exam-study-guide-trial-python-basics-2023-q18|introduction-to-python-trial-final-exam-solutions-py22-q18|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q13|resit-solutions-for-introduction-to-python-35761538-q13
shuffle_sort_in_place	Shuffle Sort In Place	`list.sort()` and `random.shuffle()` mutate a list in place instead of returning a sorted/shuffled copy.	6	5	1	0	very-common	sample-final-plus-answers-q04|final-exam-solutions-for-python-programming-62oop21-q04|final-exam-solutions-for-python-programming-62oop21-q19|final-exam-study-guide-trial-python-basics-2023-q17|introduction-to-python-trial-final-exam-solutions-py22-q17|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q21
string_not_datetime	String Not Datetime	String methods and datetime methods are not interchangeable; convert first if needed.	6	4	2	0	very-common	final-exam-solutions-for-python-programming-62oop21-q12|final-exam-study-guide-trial-python-basics-2023-q22|introduction-to-python-trial-final-exam-solutions-py22-q21|introduction-to-python-trial-final-exam-solutions-py22-q22|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q22|resit-solutions-for-introduction-to-python-35761538-q22
boolean_mask_parentheses	Boolean Mask Parentheses	Compound pandas boolean masks need parentheses around each comparison.	5	3	1	0	very-common	final-exam-solutions-for-python-programming-62oop21-q07|final-exam-solutions-for-python-programming-62oop21-q08|final-exam-study-guide-trial-python-basics-2023-q19|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q23|resit-solutions-for-introduction-to-python-35761538-q23
case_method_pipeline	Case Method Pipeline	Case-changing methods return new strings, so multi-step pipelines must use the returned value.	5	3	1	0	very-common	sample-final-plus-answers-q12|introduction-to-python-trial-final-exam-solutions-py22-q18|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q10|resit-solutions-for-introduction-to-python-35761538-q10|trial-final-exam-solutions-introduction-to-python-3077951-q12
condition_precedence_brackets	Condition Precedence Brackets	Boolean expressions become error-prone when `and`/`or` precedence is not made explicit.	5	3	1	0	very-common	sample-final-plus-answers-q17|final-exam-study-guide-trial-python-basics-2023-q01|introduction-to-python-trial-final-exam-solutions-py22-q01|introduction-to-python-trial-final-exam-solutions-py22-q10|trial-final-exam-solutions-introduction-to-python-3077951-q17
count_is_method	Count Is Method	`count` is a method on the sequence/string object, not a standalone built-in here.	5	3	1	0	very-common	sample-final-plus-answers-q22|introduction-to-python-trial-final-exam-solutions-py22-q11|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q13|resit-solutions-for-introduction-to-python-35761538-q13|trial-final-exam-solutions-introduction-to-python-3077951-q22
find_minus_one_index_valueerror	Find Minus One Index Valueerror	`find` returns `-1` when missing; `index` raises an error.	5	3	1	0	very-common	sample-final-plus-answers-q22|introduction-to-python-trial-final-exam-solutions-py22-q11|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q13|resit-solutions-for-introduction-to-python-35761538-q13|trial-final-exam-solutions-introduction-to-python-3077951-q22
invalid_dataframe_tuple_index	Invalid Dataframe Tuple Index	A plain DataFrame cannot be indexed with a tuple the way the distractor attempts.	5	3	1	0	very-common	final-exam-solutions-for-python-programming-62oop21-q07|final-exam-solutions-for-python-programming-62oop21-q08|final-exam-study-guide-trial-python-basics-2023-q19|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q23|resit-solutions-for-introduction-to-python-35761538-q23
lambda_call_shape	Lambda Call Shape	The lambda or higher-order function expects a function object, not the result of calling it too early.	5	2	1	0	common	sample-final-plus-answers-q16|sample-final-plus-answers-q23|final-exam-solutions-for-python-programming-62oop21-q22|trial-final-exam-solutions-introduction-to-python-3077951-q16|trial-final-exam-solutions-introduction-to-python-3077951-q23
parse_host_before_extension	Parse Host Before Extension	When parsing URLs/emails, isolate the host/domain before trying to take the extension/TLD.	5	3	1	0	very-common	sample-final-plus-answers-q04|final-exam-solutions-for-python-programming-62oop21-q03|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q15|resit-solutions-for-introduction-to-python-35761538-q15|trial-final-exam-solutions-introduction-to-python-3077951-q04
range_stop_exclusive	Range Stop Exclusive	`range(start, stop)` stops before `stop`.	5	3	1	0	very-common	sample-final-plus-answers-q14|final-exam-solutions-for-python-programming-62oop21-q14|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q04|resit-solutions-for-introduction-to-python-35761538-q04|trial-final-exam-solutions-introduction-to-python-3077951-q14
while_condition_off_by_one	While Condition Off By One	The loop condition is off by one, so it runs one time too many or too few.	5	3	1	0	very-common	sample-final-plus-answers-q14|final-exam-solutions-for-python-programming-62oop21-q14|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q04|resit-solutions-for-introduction-to-python-35761538-q04|trial-final-exam-solutions-introduction-to-python-3077951-q14
format_too_early	Format Too Early	Formatting happened before the needed values were available or before iteration finished.	4	3	1	0	common	final-exam-study-guide-trial-python-basics-2023-q21|introduction-to-python-trial-final-exam-solutions-py22-q22|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q21|resit-solutions-for-introduction-to-python-35761538-q21
self_passed_twice	Self Passed Twice	When you call `obj.method(...)`, Python passes `self` automatically; do not pass it again.	4	3	1	0	common	final-exam-solutions-for-python-programming-62oop21-q01|introduction-to-python-trial-final-exam-solutions-py22-q24|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q19|resit-solutions-for-introduction-to-python-35761538-q19
sort_index_vs_sort_values	Sort Index Vs Sort Values	`sort_index()` reorders by labels; `sort_values()` reorders by data values.	4	3	1	0	common	sample-final-plus-answers-q06|final-exam-solutions-for-python-programming-62oop21-q08|introduction-to-python-trial-final-exam-solutions-py22-q20|trial-final-exam-solutions-introduction-to-python-3077951-q06
column_transform_assignment	Column Transform Assignment	Creating or updating a column requires assigning the transformed Series back to the DataFrame.	3	2	1	0	common	introduction-to-python-trial-final-exam-solutions-py22-q19|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q22|resit-solutions-for-introduction-to-python-35761538-q22
negative_indices	Negative Indices	Negative indices count from the end of the sequence.	3	2	1	0	common	final-exam-solutions-for-python-programming-62oop21-q13|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q01|resit-solutions-for-introduction-to-python-35761538-q01
nested_index_order	Nested Index Order	Nested indexing must be applied in the correct order: outer container first, then inner item.	3	2	1	0	common	final-exam-solutions-for-python-programming-62oop21-q13|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q01|resit-solutions-for-introduction-to-python-35761538-q01
sorted_running_total_shape	Sorted Running Total Shape	The distractor produces the wrong shape or nesting when trying to sort or accumulate running totals.	3	2	1	0	common	sample-final-plus-answers-q19|final-exam-solutions-for-python-programming-62oop21-q16|trial-final-exam-solutions-introduction-to-python-3077951-q19
zip_next_link	Zip Next Link	Creating “next item” dictionaries usually needs `zip(items, items[1:])` or a similar offset pairing.	3	2	1	0	common	sample-final-plus-answers-q19|final-exam-solutions-for-python-programming-62oop21-q16|trial-final-exam-solutions-introduction-to-python-3077951-q19
dataframe_column_lists_same_length	Dataframe Column Lists Same Length	When constructing a DataFrame from lists, the columns must have matching lengths.	2	1	1	0	occasional	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q15|resit-solutions-for-introduction-to-python-35761538-q15
import_alias_name_mismatch	Import Alias Name Mismatch	When you import with an alias, only the alias is available in that scope.	2	1	1	0	occasional	sample-final-plus-answers-q24|trial-final-exam-solutions-introduction-to-python-3077951-q24
overlap_is_not_nonoverlap	Overlap Is Not Nonoverlap	Overlap conditions are easiest to write by negating the non-overlap cases carefully.	2	2	1	0	occasional	final-exam-solutions-for-python-programming-62oop21-q12|introduction-to-python-trial-final-exam-solutions-py22-q21
set_removes_duplicates	Set Removes Duplicates	A set removes duplicates and does not preserve list-style ordering semantics.	2	1	1	0	occasional	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q05|resit-solutions-for-introduction-to-python-35761538-q05
